pair,strategy,old_sharpe,new_sharpe,delta,old_win_pct,new_win_pct,old_trades,new_trades
AUDNZD,swing,-2.16,-3.26,-1.1,0.0,25.3,0,75
AUDNZD,scalp,1.63,1.53,-0.1,0.0,52.7,0,370
AUDNZD,momentum,0.55,0.4,-0.15,0.0,45.9,0,196
EURGBP,swing,0.45,0.61,0.16,0.0,34.5,0,87
EURGBP,scalp,1.32,1.26,-0.06,0.0,48.7,0,830
EURGBP,momentum,1.57,1.38,-0.19,0.0,52.7,0,205
GBPJPY,swing,1.93,2.14,0.21,0.0,36.9,0,103
GBPJPY,scalp,0.85,0.83,-0.02,0.0,49.5,0,643
GBPJPY,momentum,0.21,0.21,-0.0,0.0,42.2,0,199
EURUSD,swing,-0.2,-0.31,-0.11,0.0,32.5,0,123
EURUSD,scalp,-0.17,-0.43,-0.26,0.0,42.3,0,752
EURUSD,momentum,-1.03,-1.35,-0.32,0.0,42.4,0,224
USDJPY,swing,3.09,3.08,-0.01,0.0,43.8,0,89
USDJPY,scalp,-2.34,-2.34,0.0,0.0,38.1,0,549
USDJPY,momentum,-1.61,-1.64,-0.03,0.0,43.3,0,180
