Datetime,Open,High,Low,Close,Volume
2022-04-26 14:00:00,127.722,127.73,127.642,127.677,959
2022-04-26 14:15:00,127.677,127.693,127.525,127.545,939
2022-04-26 14:30:00,127.546,127.622,127.511,127.57,985
2022-04-26 14:45:00,127.57,127.633,127.488,127.545,1256
2022-04-26 15:00:00,127.547,127.606,127.514,127.543,1268
2022-04-26 15:15:00,127.543,127.571,127.472,127.492,1204
2022-04-26 15:30:00,127.492,127.542,127.31,127.325,1675
2022-04-26 15:45:00,127.325,127.343,127.182,127.216,1756
2022-04-26 16:00:00,127.217,127.239,127.123,127.171,1684
2022-04-26 16:15:00,127.172,127.374,127.121,127.24,1594
2022-04-26 16:30:00,127.239,127.257,127.047,127.05,1985
2022-04-26 16:45:00,127.053,127.179,127.026,127.161,1368
2022-04-26 17:00:00,127.158,127.327,127.158,127.231,1498
2022-04-26 17:15:00,127.231,127.349,127.184,127.323,1293
2022-04-26 17:30:00,127.323,127.338,127.209,127.256,1477
2022-04-26 17:45:00,127.256,127.257,127.138,127.174,1428
2022-04-26 18:00:00,127.182,127.293,127.124,127.263,1391
2022-04-26 18:15:00,127.267,127.384,127.255,127.384,1373
2022-04-26 18:30:00,127.383,127.459,127.358,127.409,1045
2022-04-26 18:45:00,127.408,127.408,127.342,127.374,836
2022-04-26 19:00:00,127.373,127.546,127.354,127.532,898
2022-04-26 19:15:00,127.532,127.537,127.45,127.461,1047
2022-04-26 19:30:00,127.461,127.532,127.443,127.519,790
2022-04-26 19:45:00,127.521,127.526,127.462,127.526,671
2022-04-26 20:00:00,127.527,127.527,127.424,127.458,822
2022-04-26 20:15:00,127.458,127.483,127.428,127.443,629
2022-04-26 20:30:00,127.443,127.487,127.443,127.487,643
2022-04-26 20:45:00,127.488,127.59,127.463,127.58,616
2022-04-26 21:00:00,127.581,127.592,127.541,127.57,624
2022-04-26 21:15:00,127.569,127.601,127.556,127.579,924
2022-04-26 21:30:00,127.575,127.639,127.572,127.613,726
2022-04-26 21:45:00,127.611,127.619,127.57,127.581,792
2022-04-26 22:00:00,127.58,127.684,127.576,127.633,745
2022-04-26 22:15:00,127.632,127.638,127.55,127.568,718
2022-04-26 22:30:00,127.568,127.568,127.501,127.501,686
2022-04-26 22:45:00,127.501,127.525,127.418,127.427,983
2022-04-26 23:00:00,127.427,127.456,127.301,127.357,714
2022-04-26 23:15:00,127.358,127.384,127.276,127.276,454
2022-04-26 23:30:00,127.277,127.306,127.236,127.247,324
2022-04-26 23:45:00,127.247,127.247,127.2,127.208,675
2022-04-27 00:00:00,127.223,127.251,127.198,127.225,138
2022-04-27 00:15:00,127.225,127.229,127.153,127.228,183
2022-04-27 00:30:00,127.226,127.228,127.185,127.193,523
2022-04-27 00:45:00,127.193,127.206,127.184,127.196,287
2022-04-27 01:00:00,127.198,127.22,126.943,127.085,700
2022-04-27 01:15:00,127.085,127.21,127.051,127.206,888
2022-04-27 01:30:00,127.206,127.207,127.113,127.118,468
